Image Name,AREA_PX,PERIMETER_PX,ROUNDNESS,ROUNDNESS2,ISOTROPY,COMPACTNESS,ECCENTRICITY,RMS,SOL,[34;38;22],[90;98;58],[90;108;48],[106;113;48],[118;127;55],[128;139;60],[146;146;74],[162;163;72],[186;182;140],[190;162;130],[182;166;133],[170;144;104],[133;114;73],Lesion_segmentation,Lesion_mask
cropped100_4_mask,22939,1717.574819,0.097713151,0.924920393,0.871121473,0.478543861,0.154888369,0.536713715,25.64579973,879,1412,2868,7472,3630,800,1260,1,67,229,952,1581,1788,0.12,0.14
cropped100_5_mask,19592,1614.337229,0.094471348,0.914225113,0.729693015,0.433144676,0.172545327,0.40377241,22.84406901,818,1223,1408,6082,3448,1337,1347,3,155,85,489,1307,1890,0.1,0.13
cropped101_0_mask,29563,1740.611399,0.122618139,0.922700309,0.535169682,0.627797834,0.151341304,0.435104382,18.02591077,1199,4930,1874,14864,2782,89,344,0,14,1,151,600,2715,0.03,0.02
cropped101_1_mask,26218,1667.959595,0.118423631,0.936282075,0.71204562,0.600545159,0.140848539,0.505411501,17.27549775,1046,2280,1584,10978,4151,588,827,0,14,82,422,2036,2210,0.1,0.1
cropped101_2_mask,31242,1892.996175,0.109559293,0.92534905,0.816846264,0.645642605,0.149668491,0.434838759,17.52768709,1212,8633,5908,9672,2011,219,450,0,36,9,340,592,2160,0.03,0.03
cropped101_3_mask,26298,1841.540331,0.097447369,0.928850384,0.744388795,0.604662927,0.157182987,0.460888449,18.4732299,1021,1826,1354,11911,5371,741,764,0,89,53,252,906,2010,0.05,0.05
cropped101_4_mask,31061,1577.65808,0.156819305,0.898158182,0.815853717,0.648116849,0.169851091,0.463004451,23.2606806,1133,4033,3369,12289,3744,684,1605,108,302,1,424,1401,1960,0.07,0.06
cropped101_5_mask,27342,1581.089537,0.137444452,0.934286457,0.891812174,0.63775891,0.126888894,0.277794113,22.42297564,1093,4609,5013,12457,1663,72,293,0,62,1,223,373,1483,0.02,0.02
cropped102_0_mask,27056,1361.467171,0.183425245,0.911527616,0.543884799,0.692358872,0.160494852,0.2016896,17.29213483,972,3272,1573,11274,6110,617,276,0,25,0,155,388,2394,0.02,0
cropped102_1_mask,30829,1399.994083,0.19765914,0.897858933,0.728066876,0.69308244,0.210229259,0.494816285,15.7129975,1036,1587,1354,13038,8610,1462,737,0,30,0,190,420,2365,0.02,0
cropped102_2_mask,33664,1479.391052,0.193290098,0.900015918,0.568620471,0.687778368,0.17996335,0.454809589,9.753119059,993,4929,3322,16075,4683,307,266,0,2,0,33,401,2653,0.01,0
cropped102_3_mask,27365,1312.881384,0.199505253,0.924564872,0.695103192,0.676012846,0.152071526,0.38871091,10.07217248,1008,1096,643,10422,8326,1243,869,0,0,0,91,752,2915,0.03,0
cropped102_4_mask,26388,1277.266161,0.203260751,0.923932732,0.281208052,0.674971224,0.188954303,0.591376377,10.24708201,919,1743,1460,11537,6473,914,544,0,31,0,202,486,2079,0.03,0
cropped102_5_mask,29031,1309.910822,0.212612307,0.901281767,0.557136997,0.691527119,0.227473287,0.69923942,9.675863732,899,1777,397,11008,7822,490,574,0,70,0,387,1431,4176,0.07,0.03
cropped103_0_mask,34205,1751.581961,0.140100128,0.959296363,0.651370106,0.699045595,0.089730679,0.376902361,20.3349218,1190,2073,2279,16022,8968,228,604,0,28,0,288,521,2004,0.02,0
cropped103_1_mask,28916,1607.734198,0.140578719,0.916038292,0.866548301,0.647020653,0.165172171,0.192280723,14.3873634,985,1586,1906,11144,10161,347,471,0,0,10,243,422,1641,0.02,0.01
cropped103_2_mask,31033,1537.533188,0.164962271,0.918810016,0.575855901,0.659673065,0.17840703,0.276005995,17.31347275,1075,1983,1407,9584,11163,1333,1017,2,37,1,497,612,2322,0.04,0.02
cropped103_3_mask,31470,1768.670273,0.126419147,0.934747935,0.558518148,0.67419341,0.128427558,0.495823192,18.25751509,1209,1973,904,11310,12440,601,351,0,17,7,98,386,2174,0.02,0
cropped103_4_mask,29069,1677.072293,0.129878238,0.937594131,0.75936761,0.669129664,0.142225516,0.373447056,8.77309161,1196,3258,1591,12426,6318,473,638,0,32,14,360,743,2020,0.04,0.04
cropped103_5_mask,32276,1775.983982,0.128591269,0.92529482,0.634091326,0.664498065,0.195903183,0.695031086,22.33241418,1196,3403,1845,14129,8380,142,408,2,0,13,84,452,2222,0.02,0.01
cropped104_0_mask,23564,1545.976839,0.123894752,0.930390547,0.640743672,0.536252333,0.121932905,0.241663364,15.63609744,959,695,877,9771,6726,514,862,0,75,104,274,964,1743,0.06,0.04
cropped104_1_mask,23329,1716.788022,0.099465538,0.88502882,0.584950561,0.515523833,0.179633067,0.418087504,27.50229328,957,315,280,4849,7538,2585,1901,14,104,132,428,1566,2660,0.1,0.1
cropped104_2_mask,20857,1294.195093,0.156481214,0.92603725,0.539204225,0.579699269,0.160085347,0.333851348,10.81771108,841,6,0,8,218,2509,5264,1359,1149,1193,2350,5200,760,0.54,0.53
cropped104_3_mask,24268,1412.905771,0.152762745,0.860478476,0.613554791,0.655750108,0.293657689,0.74088289,13.06119169,908,1009,775,8459,6615,856,1496,9,0,2,321,1306,2512,0.07,0.03
cropped104_4_mask,23145,1648.001225,0.107090757,0.907784079,0.621200808,0.536049285,0.156896638,0.571907586,12.36660186,993,682,665,7479,6970,661,742,7,654,142,222,997,2931,0.09,0.11
cropped104_5_mask,25027,1785.515944,0.09864866,0.873329789,0.60323887,0.559775437,0.212437934,0.545378025,20.82886483,1018,711,343,6878,7392,865,1613,1,923,177,457,1648,3001,0.13,0.19
cropped105_0_mask,31196,1577.030663,0.157626234,0.908420901,0.650882622,0.680986684,0.178494778,0.185576702,6.433645339,939,12196,2601,9206,1814,99,339,0,11,1,157,663,3170,0.03,0.05
cropped105_1_mask,35226,1264.496608,0.276845748,0.902984894,0.686117087,0.749234303,0.209472368,0.5408514,7.211037302,918,13549,2958,8565,1199,120,1223,0,1,70,637,2755,3231,0.1,0.16
cropped105_2_mask,31457,1418.66313,0.196412264,0.92579692,0.755473454,0.764614375,0.165939211,0.328914989,11.21645421,1042,5567,2819,10977,4253,688,974,2,36,89,548,1244,3218,0.06,0.06
cropped105_3_mask,40475,1349.893578,0.279124308,0.930264618,0.879711875,0.819133004,0.117525551,0.550375782,14.72474367,1244,10136,7170,12644,3602,190,537,0,38,130,510,1079,3195,0.04,0.05
cropped105_4_mask,30633,1259.650937,0.242604564,0.884988819,0.795557332,0.720929138,0.235829879,0.530804275,6.262657918,878,6372,1128,9280,6293,449,939,0,34,11,271,1456,3522,0.06,0.09
cropped105_5_mask,34688,1292.337229,0.260998141,0.871710625,0.753571359,0.742433971,0.224440513,0.64198789,8.657287823,1025,1009,227,7208,6976,397,2587,0,55,319,697,4245,9943,0.15,0.46
cropped106_0_mask,22638,1727.273303,0.09535112,0.908253758,0.441466731,0.541475316,0.206107477,0.600682271,14.25143564,930,529,175,2958,12038,2123,1253,0,4,0,128,610,1890,0.03,0
cropped106_1_mask,26597,1630.587012,0.125705581,0.920761489,0.680161417,0.575904554,0.153837158,0.380849039,11.0042862,1116,253,264,2226,13865,5093,1730,0,3,0,59,639,1349,0.03,0
cropped106_2_mask,25357,1593.474314,0.125492451,0.933200874,0.7049798,0.574806184,0.124966713,0.345464149,18.02169026,1005,497,348,8387,9902,1230,937,0,0,0,52,569,2430,0.02,0
cropped106_3_mask,25297,1732.327127,0.105930024,0.903374769,0.756570226,0.543810998,0.204226523,0.559314059,18.27884729,938,693,168,6025,12075,1695,760,0,1,0,80,527,2335,0.02,0
cropped106_4_mask,25422,1723.741341,0.107516566,0.934192431,0.5312775,0.584494413,0.150496865,0.441082617,15.31649752,1078,134,118,4643,12034,3269,1635,8,11,0,153,575,1764,0.03,0
cropped106_5_mask,24861,1691.030663,0.109251018,0.908807538,0.844530414,0.540679846,0.179350414,0.492202405,17.25694863,926,219,262,5005,12458,2377,1267,0,7,0,144,620,1576,0.03,0
cropped107_0_mask,19482,1763.65808,0.078707228,0.889471098,0.704012038,0.472119229,0.237815811,0.533158872,21.02453547,882,1404,1315,8350,4509,537,551,0,1,0,81,339,1513,0.02,0
cropped107_1_mask,21998,1646.930158,0.101916077,0.903247986,0.553448471,0.520675046,0.203034512,0.475940233,12.76934267,918,581,155,3768,9330,1991,1953,1,35,18,360,1067,1821,0.07,0.03
cropped107_2_mask,22349,1634.86414,0.105076264,0.89367718,0.509955278,0.48729913,0.180694723,0.270884301,19.19660835,856,984,639,8100,6556,1000,991,0,3,0,114,775,2331,0.04,0.02
cropped107_3_mask,23016,1723.817459,0.09733234,0.927085322,0.615127676,0.494914525,0.126268527,0.36816134,19.67887556,956,260,352,7525,8879,1281,1095,0,10,0,220,715,1723,0.04,0
cropped107_4_mask,19114,1233.283405,0.157919467,0.892170316,0.596139134,0.600238663,0.258962868,0.660266581,15.59673538,744,900,392,6643,4633,781,795,0,1,3,307,1471,2444,0.09,0.07
cropped108_0_mask,23110,1461.574819,0.135946398,0.914864114,0.81111285,0.511554808,0.170197876,0.300536863,11.52124621,852,1039,1753,7268,5986,2121,1669,16,18,1,239,852,1296,0.05,0.03
cropped108_1_mask,27216,1840.067243,0.101010558,0.903059964,0.498929452,0.544755805,0.18945797,0.546545095,15.04997061,1010,707,1336,9252,7221,2269,2024,17,31,0,506,1336,1507,0.07,0.03
cropped108_2_mask,22948,1631.917964,0.108282446,0.923523232,0.676776065,0.503687445,0.154109182,0.501505563,20.03154959,922,442,1228,6336,7658,2720,1671,49,7,0,153,743,1019,0.04,0.02
cropped108_3_mask,23070,1687.942351,0.101751832,0.911265632,0.750287016,0.48618575,0.166548238,0.479669906,12.63979194,947,448,1768,7088,6961,2563,1490,15,1,0,153,718,918,0.04,0.02
cropped108_4_mask,24820,1953.037805,0.081769311,0.886853833,0.778964314,0.47916908,0.14990623,0.387970062,16.39983884,938,1155,2225,10600,5336,1642,1164,2,0,0,60,543,1155,0.02,0.02
cropped108_5_mask,21524,1398.153462,0.138364017,0.914511288,0.8473903,0.467050016,0.147877458,0.618020249,22.50585393,769,434,2096,7052,5859,2211,1333,4,11,0,160,700,895,0.04,0.02
cropped109_0_mask,34977,1201.768686,0.304334126,0.928344709,0.786823576,0.819728609,0.160945185,0.368030063,5.815278612,1053,4243,1488,15301,9350,240,425,0,28,6,193,562,2088,0.02,0.01
cropped109_1_mask,36436,1073.359523,0.397420376,0.935035877,0.815459052,0.849165657,0.147458607,0.336277708,9.264491163,1061,6234,1374,15553,8140,142,492,0,0,0,58,658,2724,0.02,0.01
cropped109_2_mask,34238,1251.42554,0.274731352,0.931189407,0.614082212,0.751921641,0.155897875,0.471227621,12.56895847,992,3671,409,11696,12056,226,423,0,1,0,191,817,3756,0.03,0.02
cropped109_3_mask,39028,920.2640687,0.57911022,0.925405981,0.865268647,0.874185239,0.151298466,0.352378144,9.471763862,966,10989,2863,16856,5695,108,135,0,0,0,0,98,1318,0,0
cropped109_4_mask,35032,1297.793073,0.261374908,0.922513689,0.683708005,0.775078543,0.170676383,0.492814575,11.72873373,1035,3333,379,10923,12529,844,821,0,2,4,227,977,3958,0.03,0.04
cropped109_5_mask,37371,971.3178926,0.497762076,0.936606436,0.739866361,0.867438838,0.138392302,0.442528227,12.739825,923,3867,1037,15721,10944,405,534,0,63,1,310,818,2748,0.03,0.02
cropped10_0_mask,30064,1704.954544,0.129966378,0.921483989,0.799995916,0.641461125,0.150490906,0.457591426,14.88694119,1112,5012,2730,14298,3917,210,277,0,0,1,73,459,1975,0.02,0.03
cropped10_1_mask,33128,1697.616449,0.144452789,0.958424391,0.913850579,0.729466684,0.091492703,0.225503066,21.34994567,1234,6450,3994,16219,2176,113,380,0,0,0,35,567,1960,0.02,0.03
cropped10_2_mask,30373,1656.427632,0.139108165,0.944989087,0.744572081,0.669067759,0.114663366,0.374287818,13.44355184,1099,2619,2611,14800,5666,529,575,1,79,1,252,507,1634,0.03,0.02
cropped10_3_mask,32773,1788.368758,0.128769175,0.932060934,0.561974505,0.722827525,0.143033059,0.258155026,16.52872792,1241,1623,1440,10832,13472,1165,735,0,2,0,80,504,1679,0.02,0
cropped10_4_mask,30305,1682.528137,0.13452391,0.9354527,0.73239112,0.658990584,0.125046434,0.472304456,20.8030358,1201,1741,1535,11707,9328,521,721,0,8,0,150,982,2411,0.04,0.03
cropped10_5_mask,29179,1614.528137,0.140665966,0.922470385,0.595964335,0.68548406,0.157579923,0.380029682,19.43209157,1118,1632,2351,13463,6080,831,885,5,14,30,307,768,1695,0.04,0.04
cropped10_6_mask,35582,1675.266161,0.15932084,0.84856133,0.746435523,0.68523119,0.253297121,0.557583817,22.11143275,994,1360,2122,14867,8988,938,1591,6,0,30,350,1517,2819,0.05,0.08
cropped110_0_mask,19081,1688.427632,0.084109702,0.88673531,0.610438999,0.401815234,0.183892648,0.531778946,17.50872596,836,821,175,3570,6462,2226,1779,276,52,1,436,1093,1354,0.1,0.01
cropped110_1_mask,23015,1578.427632,0.116083767,0.875867671,0.815099589,0.472451451,0.19162688,0.548773812,11.47929611,903,312,348,4723,10360,2106,1328,205,94,2,436,1012,1186,0.08,0.02
cropped110_2_mask,19331,1524.361615,0.104541367,0.902443784,0.838080452,0.44646404,0.170913486,0.561632018,13.24483989,831,1216,1324,6157,5062,1302,954,83,4,0,216,928,1254,0.06,0.02
cropped110_3_mask,18842,1656.143361,0.086325879,0.899107328,0.485926241,0.424598882,0.186907795,0.704156098,18.91566713,780,573,349,2394,7384,3167,1925,239,0,0,170,742,1119,0.06,0
cropped110_4_mask,20842,1525.533188,0.112539747,0.907434128,0.821802751,0.508862737,0.174269442,0.567083037,14.04284618,885,139,82,3475,7736,2097,1992,491,59,10,563,1694,1619,0.14,0.02
cropped110_5_mask,21071,1437.609307,0.128118917,0.912883996,0.376657974,0.467081929,0.147304788,0.494535354,17.42850363,831,149,582,5833,8133,2062,1686,21,38,0,241,740,755,0.05,0.01
cropped111_0_mask,29244,1557.072293,0.151575527,0.936189336,0.639045384,0.63034013,0.1418307,0.513261058,16.37477773,1062,1651,1061,12052,8202,1342,745,0,8,0,99,601,2421,0.02,0.02
cropped111_1_mask,26929,1523.616449,0.145773568,0.910106675,0.44383121,0.631173093,0.163476672,0.504307551,11.645438,1031,895,711,12233,6705,844,1053,0,20,0,166,658,2613,0.03,0
cropped111_2_mask,29529,1671.072293,0.132882603,0.91144788,0.580804103,0.616716443,0.16924897,0.399852281,15.79765654,1134,597,847,11390,9086,1225,1233,0,184,15,672,941,2205,0.06,0.04
cropped111_3_mask,28302,1516.947402,0.154556027,0.919042422,0.741311001,0.670584054,0.150762773,0.347272034,23.52681789,1083,1521,3157,14819,5156,471,363,0,6,0,67,254,1405,0.01,0.01
cropped111_4_mask,28068,1767.716954,0.11287451,0.886119951,0.822458963,0.611636522,0.238700357,0.605681588,24.60314237,1226,2457,2281,12823,4710,311,522,0,0,2,143,687,2906,0.03,0.04
cropped111_5_mask,31525,1995.464212,0.09948946,0.944038619,0.699381632,0.617000039,0.120715443,0.41371896,20.50486915,1177,770,537,10449,12770,1627,985,0,68,9,266,628,2239,0.03,0.02
cropped112_0_mask,24872,1308.052957,0.182671132,0.900719619,0.64265807,0.612686291,0.190216069,0.459466669,10.87166291,975,1248,287,6888,8433,1394,1618,0,0,0,102,881,3046,0.04,0.01
cropped112_1_mask,27040,1481.976839,0.154715462,0.914175258,0.675988152,0.620752984,0.160484613,0.492398743,7.422485207,954,1466,579,8352,9245,1454,948,0,14,0,208,758,3062,0.04,0
cropped112_2_mask,25600,1309.910822,0.187484932,0.852392996,0.743543815,0.651731161,0.300152824,0.687354582,10.16015625,795,518,111,4722,10570,2527,1370,0,96,0,358,1083,3450,0.06,0.02
cropped112_3_mask,30908,1548.545381,0.16196937,0.907082126,0.690486081,0.654359148,0.196924869,0.629861163,11.41568526,988,410,45,3783,12058,3463,3125,0,8,0,234,1181,5613,0.05,0.01
cropped112_4_mask,25488,1344.195093,0.17726419,0.902100028,0.575260686,0.626348512,0.203173396,0.466655994,11.1042059,894,100,7,2400,12932,2715,1878,0,0,0,124,1267,3171,0.05,0
cropped112_5_mask,27465,1316.923015,0.199007155,0.82819301,0.583852291,0.699709569,0.379326075,0.76493463,11.7467322,876,622,44,4093,11499,1767,1240,0,39,0,371,1493,5421,0.07,0.03
cropped113_0_mask,28560,1632.829653,0.134612785,0.917151874,0.693603776,0.597802198,0.174952614,0.563910939,14.43151261,1094,103,18,2103,11901,4693,1957,0,53,112,1259,2392,2875,0.13,0.14
cropped113_1_mask,22387,1815.983982,0.085306424,0.898658937,0.689179269,0.494423463,0.160777005,0.428213543,18.69875374,1022,368,62,2344,6751,4807,2588,1,10,39,226,1248,2921,0.07,0.09
cropped113_2_mask,18887,1696.729148,0.082441864,0.868319462,0.514554688,0.434034241,0.229585677,0.656973254,19.7013819,884,402,23,1227,2398,1966,2363,11,1695,190,911,2096,4721,0.26,0.47
cropped113_3_mask,26656,1848.209378,0.098062397,0.910017826,0.794337797,0.556736774,0.198920639,0.511994444,21.44117647,1096,588,489,5469,8207,4723,2213,0,2,3,180,1517,2169,0.06,0.06
cropped113_4_mask,22272,1738.753534,0.092574853,0.918585902,0.387845616,0.484089724,0.147082185,0.534019553,23.34056214,975,624,256,3897,6726,3301,2150,1,6,8,222,1266,2840,0.07,0.08
cropped113_5_mask,21431,1698.268253,0.093376957,0.904641454,0.628045927,0.46563824,0.130408584,0.489332741,17.53389949,1000,256,0,766,3795,1908,3911,1,70,40,664,3401,5619,0.19,0.43
cropped114_0_mask,22782,1719.29769,0.096849984,0.92010188,0.391140411,0.528916026,0.149230231,0.500100845,14.16135546,955,449,281,5443,8337,2477,1557,2,0,0,143,747,2391,0.04,0.02
cropped114_1_mask,24799,1755.4987,0.101121385,0.906417581,0.489053754,0.523749182,0.160051246,0.568500121,21.54768337,1050,573,920,8219,6349,1063,2247,1,34,0,225,893,3225,0.05,0.08
cropped114_2_mask,22651,1620.587012,0.108380846,0.924763677,0.42616667,0.524328704,0.218952901,0.633372508,16.69793828,897,743,873,9024,5309,1289,1068,0,0,0,40,530,2878,0.03,0
cropped114_3_mask,19915,1511.692568,0.10951238,0.929549384,0.617017549,0.451249632,0.133549543,0.421518436,14.85995481,899,1552,725,6909,4568,561,881,0,0,0,27,936,2857,0.05,0.12
cropped114_4_mask,24562,1707.741341,0.105835023,0.893992775,0.752785515,0.531564482,0.234413663,0.69450297,16.88526993,903,891,1190,12964,5507,462,377,0,1,0,82,394,1791,0.02,0
cropped114_5_mask,23243,1555.533188,0.120710065,0.892218276,0.508942693,0.52512313,0.215327093,0.57131331,21.81060965,928,581,1366,10798,5221,775,1056,0,0,0,30,317,2171,0.01,0.01
cropped115_0_mask,20949,1652.954544,0.096349916,0.925815038,0.579111436,0.478692046,0.129823621,0.422010835,13.20712206,917,218,284,3380,9941,2345,1717,20,10,0,248,862,1007,0.05,0
cropped115_1_mask,22300,1643.959595,0.103688943,0.92716391,0.537892107,0.501676003,0.140365308,0.558814225,13.71340807,923,308,334,6644,9329,1262,1290,2,3,0,234,773,1198,0.05,0
cropped115_2_mask,23077,1680.386002,0.102700156,0.907258509,0.390685059,0.494418854,0.174547495,0.509970997,13.25167916,892,764,1263,7946,7392,1694,1045,0,4,0,118,727,1232,0.04,0
cropped115_3_mask,27066,1669.373808,0.122046899,0.924518492,0.888294057,0.622435838,0.149716324,0.263240277,12.68735683,1025,832,969,9343,9781,1221,1302,0,26,0,225,839,1503,0.04,0
cropped115_4_mask,22669,1596.562625,0.111755861,0.92862369,0.599094597,0.522086596,0.134802413,0.368983267,17.23168203,1043,188,473,6347,9025,2159,1266,2,91,0,336,761,978,0.05,0
cropped115_5_mask,25038,1589.256059,0.124572376,0.880439081,0.675147452,0.510053169,0.186801917,0.471498776,17.45031552,926,1185,1316,6455,6284,3840,2253,12,1,0,279,1104,1383,0.06,0
cropped116_0_mask,24643,1598.604256,0.121177367,0.931054813,0.703698935,0.555560565,0.124369021,0.37474413,17.89132817,985,1397,1716,11426,4792,640,763,0,5,0,67,623,2229,0.03,0
cropped116_1_mask,25625,1746.025612,0.10562641,0.921662272,0.645690783,0.557186345,0.155645047,0.443112694,11.0864,1078,542,416,7410,10676,2355,1240,0,1,0,64,636,1207,0.03,0
cropped116_2_mask,25062,1752.368758,0.102559191,0.902499842,0.756703269,0.540490414,0.207181131,0.551086786,17.01416487,921,1396,1096,10811,6844,857,548,0,0,0,60,470,2059,0.02,0
cropped116_3_mask,22999,1535.633693,0.122558533,0.902936572,0.633028,0.542442039,0.211796387,0.599917974,16.1789643,937,831,418,8215,7765,1271,1035,0,12,0,141,566,1808,0.03,0
cropped116_4_mask,25021,1731.515944,0.10487248,0.906431092,0.815370977,0.525850111,0.169504679,0.484436303,16.16626034,914,639,841,9259,8564,1466,1088,1,8,0,129,603,1509,0.03,0
cropped116_5_mask,24315,1711.214429,0.104345872,0.926025359,0.535572467,0.567630031,0.165948057,0.434367715,15.15315649,1044,350,750,10171,7106,1700,991,0,5,0,167,397,1634,0.02,0
cropped117_0_mask,31214,1709.155554,0.134275293,0.901398504,0.854012889,0.647418746,0.210497238,0.565689606,11.53328635,978,7333,8639,10892,1800,128,157,0,0,0,13,109,1165,0,0
cropped117_1_mask,29917,1795.69971,0.116589779,0.940604016,0.667517634,0.657805629,0.14310035,0.502695313,16.89744961,1101,5209,4844,12385,3385,543,373,2,0,0,47,257,1771,0.01,0.01
cropped117_2_mask,28416,1491.491557,0.160520761,0.893138451,0.674000231,0.635193133,0.201358192,0.221208367,15.84462979,1029,8508,7438,7322,1700,108,293,0,0,0,1,239,1778,0.01,0.01
cropped117_3_mask,29600,1768.327127,0.118953262,0.925659052,0.528571141,0.620675194,0.183182287,0.544579561,12.86111486,1071,4916,3500,14161,2344,264,334,0,0,0,38,361,2611,0.01,0
cropped117_4_mask,30361,1982.920056,0.097032121,0.920465297,0.877918014,0.676477797,0.178958627,0.426930449,18.28085373,1238,7020,9046,9320,1366,354,394,3,3,0,27,208,1382,0.01,0.01
cropped117_5_mask,32545,1857.866233,0.118485514,0.926823127,0.480874761,0.658792332,0.150747508,0.546942786,20.9640805,1285,7646,8636,11878,1091,95,261,0,0,0,88,190,1375,0.01,0
cropped118_0_mask,25094,1588.729148,0.124933823,0.902552947,0.597123367,0.59061382,0.169818089,0.477726316,12.76623894,1018,779,528,7029,9033,1582,1553,3,49,0,223,825,2472,0.04,0.01
cropped118_1_mask,26627,1611.013419,0.128924004,0.935471648,0.521347161,0.587584959,0.126351415,0.447712022,17.46813385,1042,646,477,6942,10273,2914,1331,8,2,0,136,763,2093,0.03,0.01
cropped118_2_mask,26513,1798.025612,0.10305688,0.928673032,0.551709747,0.55234266,0.136562305,0.418018683,18.64025195,1122,342,290,5897,12937,2272,1191,0,2,0,61,688,1711,0.03,0
cropped118_3_mask,25992,1612.403246,0.125632567,0.929440891,0.607148959,0.632085796,0.142008583,0.3640736,20.16682056,984,426,1301,11203,8629,944,628,0,4,0,122,330,1421,0.02,0
cropped118_4_mask,26659,1551.332178,0.139201565,0.900947571,0.621338446,0.566634076,0.184108708,0.490294376,14.88803031,1007,429,491,7400,10157,1929,1609,0,54,7,434,1257,1885,0.07,0.04
cropped118_5_mask,24788,1739.758585,0.102913743,0.87790057,0.736883766,0.54931856,0.256074297,0.629777666,24.92318864,1156,1213,1037,10524,5529,645,1254,0,0,0,53,779,2598,0.03,0.01
cropped119_0_mask,29790,1388.278354,0.194234898,0.908228704,0.796758941,0.714028906,0.161441151,0.487548121,8.493084928,978,1599,674,12186,6767,425,967,0,2,96,522,1959,3615,0.09,0.12
cropped119_1_mask,37102,1506.704761,0.205376555,0.912191057,0.759893776,0.756226815,0.197286717,0.662766926,8.00563312,1041,3153,1656,17181,7158,471,1089,0,20,15,489,1487,3342,0.05,0.06
cropped119_2_mask,31003,1353.449927,0.212681247,0.903239265,0.662378912,0.735644457,0.149586544,0.488071602,10.7758604,1083,1016,518,13325,9128,227,782,0,7,67,234,1369,3247,0.05,0.06
cropped119_3_mask,36317,1353.349422,0.249172406,0.915402091,0.795006005,0.741708194,0.142069904,0.35426749,8.118759809,1076,2190,1495,16578,7194,421,1172,0,0,12,252,1946,3981,0.06,0.08
cropped119_4_mask,32540,1296.881384,0.243123478,0.910750346,0.638361733,0.747324422,0.178626989,0.540738939,10.33804548,1038,3628,736,13575,5916,123,1000,0,0,0,144,1615,4765,0.05,0.14
cropped119_5_mask,27361,1370.118974,0.183157737,0.903747596,0.654871982,0.71772205,0.183785956,0.52936977,8.59709075,1027,4119,888,10508,3793,105,684,0,2,74,535,1617,4009,0.08,0.13
cropped11_0_mask,26098,1249.467171,0.210071623,0.888791717,0.57426588,0.658475047,0.228166709,0.574707038,10.80393134,915,794,221,5966,10143,1966,1432,0,6,0,231,758,3666,0.04,0.07
cropped11_1_mask,29969,1482.66313,0.17131569,0.917813511,0.658406656,0.719543818,0.178840056,0.409363511,13.92492242,1057,1427,961,8155,9519,1375,1772,0,0,4,126,1733,3840,0.06,0.06
cropped11_2_mask,30110,1531.675324,0.161282478,0.927534592,0.66532535,0.68186965,0.144222352,0.494366039,8.137661906,961,4364,1679,12304,5116,264,518,0,20,0,220,816,3848,0.04,0.01
